"year","variable","experiment","ensemble","model","units","value"
1981,"rh","historical","r22i1p1f1","NorCPM1","g yr-1",29905550305787836
1981,"rh","historical","r22i1p1f2","CNRM-CM6-1","g yr-1",47118112083582552
1981,"rh","historical","r23i1p1f1","IPSL-CM6A-LR","g yr-1",42657252084054800
1981,"rh","historical","r23i1p1f1","NorCPM1","g yr-1",29072200625664400
1981,"rh","historical","r23i1p1f2","CNRM-CM6-1","g yr-1",47755643853043312
1981,"rh","historical","r24i1p1f1","IPSL-CM6A-LR","g yr-1",42911926505782552
1981,"rh","historical","r24i1p1f1","NorCPM1","g yr-1",29289016629744364
1981,"rh","historical","r24i1p1f2","CNRM-CM6-1","g yr-1",47056155802191008
1981,"rh","historical","r25i1p1f1","IPSL-CM6A-LR","g yr-1",42381624736298400
1981,"rh","historical","r25i1p1f1","NorCPM1","g yr-1",29263945154197104
1981,"rh","historical","r25i1p1f2","CNRM-CM6-1","g yr-1",48098720099977920
1981,"rh","historical","r26i1p1f1","IPSL-CM6A-LR","g yr-1",42600747619034312
1981,"rh","historical","r26i1p1f1","NorCPM1","g yr-1",28840064318650776
1981,"rh","historical","r26i1p1f2","CNRM-CM6-1","g yr-1",48130325572872288
1981,"rh","historical","r27i1p1f1","IPSL-CM6A-LR","g yr-1",42360979873294408
1981,"rh","historical","r27i1p1f1","NorCPM1","g yr-1",29804802697724624
1981,"rh","historical","r27i1p1f2","CNRM-CM6-1","g yr-1",46955325645668488
1981,"rh","historical","r28i1p1f1","IPSL-CM6A-LR","g yr-1",42993575228245832
1981,"rh","historical","r28i1p1f1","NorCPM1","g yr-1",29297682104395744
1981,"rh","historical","r28i1p1f2","CNRM-CM6-1","g yr-1",48098634744018160
1981,"rh","historical","r29i1p1f1","IPSL-CM6A-LR","g yr-1",42866272184091088
1981,"rh","historical","r29i1p1f1","NorCPM1","g yr-1",29208048524039084
1981,"rh","historical","r29i1p1f2","CNRM-CM6-1","g yr-1",47313228755173824
1981,"rh","historical","r2i1p1f1","ACCESS-ESM1-5","g yr-1",57150564057350688
1981,"rh","historical","r2i1p1f1","CESM2","g yr-1",39116846975468136
1981,"rh","historical","r2i1p1f1","CESM2-WACCM","g yr-1",38199983695961320
1981,"rh","historical","r2i1p1f1","IPSL-CM6A-LR","g yr-1",43585011820865040
1981,"rh","historical","r2i1p1f1","MPI-ESM-1-2-HAM","g yr-1",63617525924627608
1981,"rh","historical","r2i1p1f1","MPI-ESM1-2-LR","g yr-1",62018647926175232
1981,"rh","historical","r2i1p1f1","NorCPM1","g yr-1",28813539296765080
1981,"rh","historical","r2i1p1f1","NorESM2-LM","g yr-1",37501197638249288
1981,"rh","historical","r2i1p1f2","CNRM-CM6-1","g yr-1",47294800038567912
1981,"rh","historical","r2i1p1f2","CNRM-ESM2-1","g yr-1",41199710190554192
1981,"rh","historical","r30i1p1f1","IPSL-CM6A-LR","g yr-1",43115699581318128
1981,"rh","historical","r30i1p1f1","NorCPM1","g yr-1",28345327211181028
1981,"rh","historical","r30i1p1f2","CNRM-CM6-1","g yr-1",47286898182841872
1981,"rh","historical","r31i1p1f1","IPSL-CM6A-LR","g yr-1",42765423384464920
1981,"rh","historical","r32i1p1f1","IPSL-CM6A-LR","g yr-1",43830490721006408
1981,"rh","historical","r3i1p1f1","ACCESS-ESM1-5","g yr-1",56790944185834912
1981,"rh","historical","r3i1p1f1","CESM2","g yr-1",38652703074290352
1981,"rh","historical","r3i1p1f1","CESM2-WACCM","g yr-1",39002824365284200
1981,"rh","historical","r3i1p1f1","IPSL-CM6A-LR","g yr-1",42409273378875112
1981,"rh","historical","r3i1p1f1","MPI-ESM1-2-LR","g yr-1",62055977552431272
1981,"rh","historical","r3i1p1f1","NorCPM1","g yr-1",28529302258388820
1981,"rh","historical","r3i1p1f1","NorESM2-LM","g yr-1",37699106104060952
1981,"rh","historical","r3i1p1f2","CNRM-CM6-1","g yr-1",48029590762902848
1981,"rh","historical","r3i1p1f2","CNRM-ESM2-1","g yr-1",40524497512724872
1981,"rh","historical","r4i1p1f1","CESM2","g yr-1",38822462498762760
1981,"rh","historical","r4i1p1f1","IPSL-CM6A-LR","g yr-1",42717454382409240
1981,"rh","historical","r4i1p1f1","MPI-ESM1-2-LR","g yr-1",62024939484666608
1981,"rh","historical","r4i1p1f1","NorCPM1","g yr-1",29483333755632488
1981,"rh","historical","r4i1p1f2","CNRM-CM6-1","g yr-1",47716784120919536
1981,"rh","historical","r4i1p1f2","CNRM-ESM2-1","g yr-1",40175141936814872
1981,"rh","historical","r5i1p1f1","CESM2","g yr-1",38583196430577336
